name,website,profile_url,description,address,,,
"10-8 Video, LLC",https://go.lexipol.com/?target=org_bccfab5c804e510e&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/police-10-8-video/,"Over the last few years, the 10-8 Video system has become a recognized leader and innovator in the law enforcement industry. 10-8 Video has developed and refined its product line through feedback from police departments around the country and continuous in-house research and development. By taking a needs-based, consultative approach to serving customers, 10-8 Video is able to offer products that are affordable, high quality and easy to use and deploy. Designed for cost effectiveness, convenience, high-performance and prolonged field use, the in-car video recording products offer state-of the-art features with quality you can rely on.

10-8 Video now offers a new body camera solution with the 10-8 BC-2 Body Camera!","10-8 Video, LLC
1423 Huntsville Hwy
              
              
                
                
                
                  
                
                Fayetteville, TN
                37334
              
              
                Phone: 888-788-1048",,,
"201TacSolutions, LLC",,https://www.police1.com/company-directory/201tacsolutions-llc/,,"201TacSolutions, LLC

                
                
                  
                
                LA
                70052",,,
3e Technologies International,https://go.lexipol.com/?target=org_PjCFOYzDpBdM4hu9&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/3e-technologies/,"ding provider of wireless networking solutions that are completely customized to a client’s security challenges and voice, video and data communication needs. The company designs and manufactures secure Wi-Fi products, including mesh network, access point, bridge, and client infrastructure products, as well as security software.","3e Technologies International

                
                
                  
                
                Rockville, MD
                21108",,,
3M Company,,https://www.police1.com/company-directory/3m-company/,,"3M Company
3M Center Bldg 235-03-A-09
              
              
                
                
                
                  
                
                St. Paul, MN
                55144
              
              
                Phone: 651-733-6069",,,
3M Scott Fire & Safety,https://go.lexipol.com/?target=org_9597be5f8c5a3236&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/scott-safety/,"ver 65 years ago, Scott Safety introduced the first Air Pak SCBA to the fire services. Since that time, Scott Safety has continuously supported first responders globally with innovative products, smart solutions, and a dedicated level of support. Today, Scott Safety offers SCBA, compressors, thermal imaging cameras, communications, accountability, and personal location products for first responders, including firefighters, EMS, HAZMAT, and law enforcement applications.","3M Scott Fire & Safety
4320 GOLDMINE RD
              
              
                
                
                
                  
                
                MONROE, NC
                28110",,,
"3si Security Systems, Inc.",,https://www.police1.com/company-directory/3si-security-systems-inc/,,"3si Security Systems, Inc.
101 Lindenwood Dr Ste 200
              
              
                
                
                
                  
                
                Malvern, PA
                19355-1764
              
              
                Phone: +1.610.280.2000",,,
4LEOs LLC,,https://www.police1.com/company-directory/4leos-llc/,,"4LEOs LLC

                
                
                  
                
                FL
                34668
              
              
                Phone: (786) 877-2515",,,
4N6XPRT Systems,https://go.lexipol.com/?target=org_PE04EgfiQA8Y0H9C&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/products-by-4n6xpr/,"principal product for which 4N6XPRT Systems is known is the Expert AutoStats® program. Since its introduction in 1991, Expert AutoStats® has grown from a database of 12,000 vehicles to over 43,000 vehicles in the 2013 edition. Unlike printed sources, each update corrects reported omissions in the existing data as well as adding the new models. It is currently the only database program available for purchase having this depth of models, breadth of years, and detail of information. Expert AutoStats® is owned by over 300 Government agencies and 700 private consultants within the United States, Canada, and South America, as well as several major automotive manufacturers and insurance claims departments.","4N6XPRT Systems
8387 University Ave.
              
              
                
                
                
                  
                
                La Mesa, CA
                91942
              
              
                Phone: (619) 464-3477
              
              
                Fax: 619/464-2206",,,
5.11 Tactical,https://go.lexipol.com/?target=org_nbMK2EJ2kmNlC15m&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/511-tactical/,"uperior products that enhance the safety, accuracy, speed and performance of law enforcement, military and firefighting professionals and sells these products under the registered trademarks, 5.11 Tactical®. 5.11 Tactical Series®, and other marks. Built on a foundation of durability, quality and value, 5.11 Tactical leads the industry in delivering functionally innovative gear, head to toe. The company was ranked #211 on the 2007 Inc. 500 — Inc. magazine’s annual ranking, by revenue growth, of privately-held, independent, U.S.-based companies. Locate a local 5.11 Full Line Dealer or order our best-selling tactical clothing, uniforms, outerwear, footwear, eyewear, duty knives, tactical gear, holsters and more on this site.","5.11 Tactical
4300 Spyres Way
              
              
                
                
                
                  
                
                Modesto, CA
                95356
              
              
                Phone: 1-866-451-1726",,,
5.11 Tactical Quiet Warrior,https://go.lexipol.com/?target=org_QUoQDYF19Ekdo7E0&source=ads_h1akhUcHakazIzRa&site=policeone,https://www.police1.com/company-directory/511-tactical-quiet-warrior/,,"5.11 Tactical Quiet Warrior

                
                
                  
                
                IN
                11",,,
